Date,Value
2017-06-30,2.699
2017-06-29,2.683
2017-06-28,2.662
2017-06-27,2.6465
2017-06-26,2.625
2017-06-23,2.623
2017-06-22,2.598
2017-06-21,2.602
2017-06-20,2.555
2017-06-19,2.5895
2017-06-16,2.5625
2017-06-15,2.564
2017-06-14,2.5705
2017-06-13,2.593
2017-06-12,2.6125
2017-06-09,2.646
2017-06-08,2.607
2017-06-07,2.549
2017-06-06,2.5445
2017-06-05,2.5545
2017-06-02,2.5715
2017-06-01,2.5845
2017-05-31,2.577
2017-05-30,2.561
2017-05-26,2.5595
2017-05-25,2.592
2017-05-24,2.578
2017-05-23,2.5905
2017-05-22,2.589
2017-05-19,2.574
2017-05-18,2.5265
2017-05-17,2.5425
2017-05-16,2.5445
2017-05-15,2.533
2017-05-12,2.5180000000000002
2017-05-11,2.501
2017-05-10,2.487
2017-05-09,2.49
2017-05-08,2.4855
2017-05-05,2.5195
2017-05-04,2.502
2017-05-03,2.533
2017-05-02,2.625
2017-05-01,2.65
2017-04-28,2.5965
2017-04-27,2.58
2017-04-26,2.591
2017-04-25,2.582
2017-04-24,2.5535
2017-04-21,2.5365
2017-04-20,2.541
2017-04-19,2.5335
2017-04-18,2.529
2017-04-17,2.595
2017-04-13,2.5695
2017-04-12,2.544
2017-04-11,2.6060000000000003
2017-04-10,2.602
2017-04-07,2.645
2017-04-06,2.6555
2017-04-05,2.6755
2017-04-04,2.6060000000000003
2017-04-03,2.5975
2017-03-31,2.6465
2017-03-30,2.665
2017-03-29,2.67
2017-03-28,2.6689999999999996
2017-03-27,2.625
2017-03-24,2.6235
2017-03-23,2.6365
2017-03-22,2.622
2017-03-21,2.61
2017-03-20,2.6555
2017-03-17,2.6795
2017-03-16,2.6655
2017-03-15,2.6455
2017-03-14,2.6239999999999997
2017-03-13,2.6165
2017-03-10,2.5865
2017-03-09,2.57
2017-03-08,2.592
2017-03-07,2.6095
2017-03-06,2.6430000000000002
2017-03-03,2.687
2017-03-02,2.6795
2017-03-01,2.7265
2017-02-28,2.7039999999999997
2017-02-27,2.6875
2017-02-24,2.68
2017-02-23,2.6425
2017-02-22,2.7325
2017-02-21,2.7455
2017-02-17,2.7055
2017-02-16,2.716
2017-02-15,2.736
2017-02-14,2.7310000000000003
2017-02-13,2.7765
2017-02-10,2.762
2017-02-09,2.648
